id,location_name,lat,lon,location_id
tt15837338,"Montreal, Quebec, Canada",45.5031824,-73.5698065,/title/tt15837338/filminglocations/lc3524636
tt15837338,"Paris, France",48.8534951,2.3483915,/title/tt15837338/filminglocations/lc3524637
tt15837338,"Rome, Italy",41.8933203,12.4829321,/title/tt15837338/filminglocations/lc3524638
tt15837338,"Sydney, Australia",-33.8698439,151.2082848,/title/tt15837338/filminglocations/lc3524639
tt15837338,"Atlanta, Georgia, USA",33.7489924,-84.3902644,/title/tt15837338/filminglocations/lc3524640
tt15837338,Puerto Rico,18.2247706,-66.4858295,/title/tt15837338/filminglocations/lc3534944
tt15837338,"Decatur, Georgia, USA",33.7737582,-84.296069,/title/tt15837338/filminglocations/lc3534945
tt9362930,"Dunwoody, Georgia, USA",33.9463786,-84.3342686,/title/tt9362930/filminglocations/lc2880046
tt9362930,"New York City, New York, USA",40.7830439,-73.9527658,/title/tt9362930/filminglocations/lc2880045
tt9362930,"Sardinia, Italy",40.06150285,9.0975893536,/title/tt9362930/filminglocations/lc2610909
tt9362930,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",51.5524651,-0.5321619025,/title/tt9362930/filminglocations/lc3483049
tt8589698,"Alnwick Castle, Alnwick, Northumberland, England, UK",55.415461,-1.7065170268,/title/tt8589698/filminglocations/lc3316069
tt5971474,"Gloucester Cathedral, 12 College Green, Gloucester, Gloucestershire, England, UK",51.86779615,-2.248465618,/title/tt5971474/filminglocations/lc2186288
tt5971474,"Australia House, Strand, Westminster, Greater London, England, UK",51.5128785,-0.1155906289,/title/tt5971474/filminglocations/lc2236685
tt5971474,"Bangkok, Thailand",13.7524938,100.4935089,/title/tt5971474/filminglocations/lc2181870
tt0241527,"Pinewood Studios, Pinewood Road, Iver Heath, Iver, Buckinghamshire, England, UK",51.5478149,-0.5315999,/title/tt0241527/filminglocations/lc0137267
tt0241527,Thailand,14.8971921,100.83273,/title/tt0241527/filminglocations/lc0137277
tt0241527,"Siem Reap, Cambodia",13.3617562,103.8590321,/title/tt0241527/filminglocations/lc0137268
tt0241527,"Venice Beach, Venice, Los Angeles, California, USA",33.97996005,-118.4687710293,/title/tt0241527/filminglocations/lc0137284
tt0241527,"London, England, UK",51.5073359,-0.12765,/title/tt0241527/filminglocations/lc0137286
tt0241527,"Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK",51.8836882,0.5346038,/title/tt0241527/filminglocations/lc0137278
tt0241527,"Long Beach, California, USA",33.7690164,-118.191604,/title/tt0241527/filminglocations/lc0137280
tt0241527,"England, UK",52.5310214,-1.2649062,/title/tt0241527/filminglocations/lc0137288
tt0241527,"Venice Beach, California, USA",33.97996005,-118.4687710293,/title/tt0241527/filminglocations/lc0137269
tt0241527,"1725 Main St, Santa Monica, California, USA",34.010858,-118.490391,/title/tt0241527/filminglocations/lc0137281
tt0241527,"Bank of America Plaza - 333 S Hope Street, Downtown, Los Angeles, California, USA",34.0564764,-118.250246,/title/tt0241527/filminglocations/lc0137275
tt0241527,"Venice Recreation Center - 1800 Ocean Front Walk, Venice, Los Angeles, California, USA",33.985813,-118.472843,/title/tt0241527/filminglocations/lc0137273
tt0241527,"Tongva Park - 1615 Ocean Ave, Santa Monica, California, USA",34.0102539062,-118.4933432812,/title/tt0241527/filminglocations/lc0137274
tt0241527,"100 Wilshire Blvd, Santa Monica, California, USA",34.01684695,-118.5006012808,/title/tt0241527/filminglocations/lc0137271
tt0241527,"Los Angeles County, California, USA",34.3155072,-118.209681,/title/tt0241527/filminglocations/lc0137282
tt0241527,"Southern California, California, USA",34.0218833,-118.2858666212,/title/tt0241527/filminglocations/lc0137272
tt0241527,"The Bridge, Spitzkoppe, Namibia",-21.8462106,15.1826066,/title/tt0241527/filminglocations/lc0137279
tt0241527,"Phuket, Thailand",7.8847901,98.3891503,/title/tt0241527/filminglocations/lc0137283
tt0241527,"Los Angeles, California, USA",34.0536909,-118.242766,/title/tt0241527/filminglocations/lc1260953
tt0241527,"Hong Kong, China",22.2793278,114.1628131,/title/tt0241527/filminglocations/lc2129744
tt0241527,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.148175,-118.338482,/title/tt0241527/filminglocations/lc1914285
tt0241527,China,35.000074,104.999927,/title/tt0241527/filminglocations/lc1914286
tt0241527,"Helsetkopen, Møre og Romsdal, Norway",62.06,6.971944,/title/tt0241527/filminglocations/lc1914287
tt0241527,"Hellesylt, Norway",62.085337,6.8696967,/title/tt0241527/filminglocations/lc1914288
tt0241527,"Grand Central, Birmingham, West Midlands, England, UK",52.477831,-1.8980701012,/title/tt0241527/filminglocations/lc1914289
tt0241527,"Rome, Lazio, Italy",41.8933203,12.4829321,/title/tt0241527/filminglocations/lc1914290
tt0241527,"Stoney Middleton, Derbyshire, England, UK",53.2756112,-1.6595362,/title/tt0241527/filminglocations/lc1914291
tt0241527,"Åndalsnes, Rauma, Møre og Romsdal, Norway",62.5681692,7.6867621,/title/tt0241527/filminglocations/lc1914328
tt0241527,"Venice, Veneto, Italy",45.4371908,12.3345898,/title/tt0241527/filminglocations/lc2125178
tt2906216,"Ponte dei Conzafelzi, 30100 Venice, Veneto, Italy",45.4383358,12.3421131,/title/tt2906216/filminglocations/lc2615906
tt2906216,"Levisham, North Yorkshire, England, UK",54.3041093,-0.7210256,/title/tt2906216/filminglocations/lc2235982
tt2906216,"Trollveggen, Møre og Romsdal, Norway",62.4826699,7.7226498,/title/tt2906216/filminglocations/lc2678135
tt2906216,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,/title/tt2906216/filminglocations/lc2707036
tt2906216,"Birmingham, West Midlands, England, UK",52.4796992,-1.9026911,/title/tt2906216/filminglocations/lc2136770
tt2906216,"Via di S. Maria Maggiore, Rome, Lazio, Italy",41.8973255,12.4957563,/title/tt2906216/filminglocations/lc3373034
tt2906216,"Via dei Funari, Rome, Lazio, Italy",41.893496,12.479073,/title/tt2906216/filminglocations/lc3372847
tt11304740,"Via Nazionale, Rome, Lazio, Italy",41.900078,12.4922571,/title/tt11304740/filminglocations/lc2953473
tt11304740,"Via dei Serpenti, Rome, Lazio, Italy",41.8980366,12.4893047,/title/tt11304740/filminglocations/lc2954633
tt11304740,"Via del Traforo, Rome, Lazio, Italy",41.9020905,12.4865373,/title/tt11304740/filminglocations/lc2954634
tt6791350,"The Bullring, Birmingham, UK",52.4779765,-1.8936259,/title/tt6791350/filminglocations/lc2121931
tt6791350,"Leighton Buzzard, Bedfordshire, UK",51.9165794,-0.6620551,/title/tt6791350/filminglocations/lc2121932
tt6791350,"ExCel London, 1 Western Gateway, Royal Victoria Dock, London, Greater London, England, UK",51.5077231,0.0288119,/title/tt6791350/filminglocations/lc3389010
tt6791350,"Buttermere, Cockermouth CA, UK",54.6607181,-3.3452574,/title/tt6791350/filminglocations/lc3389008
tt6791350,"Dubai, United Arab Emirates",25.2653471,55.2924914,/title/tt6791350/filminglocations/lc3389009
tt6791350,"Budapest, Hungary",47.4978918,19.0401609,/title/tt6791350/filminglocations/lc3389011
tt1462764,"Nürburgring Nordschleife, Nürburg, Rhineland-Palatinate, Germany",50.33333,6.95,/title/tt1462764/filminglocations/lc2974743
tt1462764,United Arab Emirates,24.0002488,53.9994829,/title/tt1462764/filminglocations/lc2220968
tt1462764,Germany,51.1638175,10.4478313,/title/tt1462764/filminglocations/lc2221853
tt1462764,Hungary,47.1817585,19.5060937,/title/tt1462764/filminglocations/lc3066942
tt1462764,Greece,38.9953683,21.9877132,/title/tt1462764/filminglocations/lc2221854
tt1462764,"Thessaloniki, Greece",40.6403167,22.9352716,/title/tt1462764/filminglocations/lc2303438
tt1462764,"Sofia, Bulgaria",42.6977028,23.3217359,/title/tt1462764/filminglocations/lc3345885
tt1462764,"Toronto, Ontario, Canada",43.6534817,-79.3839347,/title/tt1462764/filminglocations/lc3443187
tt1462764,"Montreal, Quebec, Canada",45.5031824,-73.5698065,/title/tt1462764/filminglocations/lc3443189
tt1462764,"Paris, France",48.8534951,2.3483915,/title/tt1462764/filminglocations/lc3445139
tt1462764,"Rome, Italy",41.8933203,12.4829321,/title/tt1462764/filminglocations/lc3445140
tt1462764,"Sydney, Australia",-33.8698439,151.2082848,/title/tt1462764/filminglocations/lc3445282
tt1462764,"Atlanta, Georgia, USA",33.7489924,-84.3902644,/title/tt1462764/filminglocations/lc3443188
tt1462764,Puerto Rico,18.2247706,-66.4858295,/title/tt1462764/filminglocations/lc3444884
tt1462764,"Decatur, Georgia, USA",33.7737582,-84.296069,/title/tt1462764/filminglocations/lc3445141
tt1462764,"Dunwoody, Georgia, USA",33.9463786,-84.3342686,/title/tt1462764/filminglocations/lc3445138
tt1160419,"New York City, New York, USA",40.7830439,-73.9527658,/title/tt1160419/filminglocations/lc1716685
tt1160419,"Sardinia, Italy",40.06150285,9.0975893536,/title/tt1160419/filminglocations/lc1837497
tt1160419,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",51.5524651,-0.5321619025,/title/tt1160419/filminglocations/lc1812349
tt1160419,"Alnwick Castle, Alnwick, Northumberland, England, UK",55.415461,-1.7065170268,/title/tt1160419/filminglocations/lc1691585
tt1160419,"Gloucester Cathedral, 12 College Green, Gloucester, Gloucestershire, England, UK",51.86779615,-2.248465618,/title/tt1160419/filminglocations/lc2306639
tt1160419,"Australia House, Strand, Westminster, Greater London, England, UK",51.5128785,-0.1155906289,/title/tt1160419/filminglocations/lc2306637
tt1160419,"Bangkok, Thailand",13.7524938,100.4935089,/title/tt1160419/filminglocations/lc1837498
tt1160419,"Pinewood Studios, Pinewood Road, Iver Heath, Iver, Buckinghamshire, England, UK",51.5478149,-0.5315999,/title/tt1160419/filminglocations/lc2306638
tt1160419,Thailand,14.8971921,100.83273,/title/tt1160419/filminglocations/lc2306640
tt1160419,"Siem Reap, Cambodia",13.3617562,103.8590321,/title/tt1160419/filminglocations/lc1837499
tt1160419,"Venice Beach, Venice, Los Angeles, California, USA",33.97996005,-118.4687710293,/title/tt1160419/filminglocations/lc2779484
tt1160419,"London, England, UK",51.5073359,-0.12765,/title/tt1160419/filminglocations/lc2779485
tt10545296,"Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK",51.8836882,0.5346038,/title/tt10545296/filminglocations/lc2914082
tt10545296,"Long Beach, California, USA",33.7690164,-118.191604,/title/tt10545296/filminglocations/lc2953520
tt10545296,"England, UK",52.5310214,-1.2649062,/title/tt10545296/filminglocations/lc3013457
tt10545296,"Venice Beach, California, USA",33.97996005,-118.4687710293,/title/tt10545296/filminglocations/lc3386657
tt10545296,"1725 Main St, Santa Monica, California, USA",34.010858,-118.490391,/title/tt10545296/filminglocations/lc3386659
tt10545296,"Bank of America Plaza - 333 S Hope Street, Downtown, Los Angeles, California, USA",34.0564764,-118.250246,/title/tt10545296/filminglocations/lc2913915
tt10545296,"Venice Recreation Center - 1800 Ocean Front Walk, Venice, Los Angeles, California, USA",33.985813,-118.472843,/title/tt10545296/filminglocations/lc3386009
tt10545296,"Tongva Park - 1615 Ocean Ave, Santa Monica, California, USA",34.0102539062,-118.4933432812,/title/tt10545296/filminglocations/lc3386658
tt10545296,"100 Wilshire Blvd, Santa Monica, California, USA",34.01684695,-118.5006012808,/title/tt10545296/filminglocations/lc3429548
tt10545296,"Los Angeles County, California, USA",34.3155072,-118.209681,/title/tt10545296/filminglocations/lc3429549
tt10545296,"Southern California, California, USA",34.0218833,-118.2858666212,/title/tt10545296/filminglocations/lc3444962
tt10545296,"The Bridge, Spitzkoppe, Namibia",-21.8462106,15.1826066,/title/tt10545296/filminglocations/lc3444963
tt10545296,"Phuket, Thailand",7.8847901,98.3891503,/title/tt10545296/filminglocations/lc3444964
tt0816692,"Los Angeles, California, USA",34.0536909,-118.242766,/title/tt0816692/filminglocations/lc0758450
tt0816692,"Hong Kong, China",22.2793278,114.1628131,/title/tt0816692/filminglocations/lc0758015
tt0816692,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.148175,-118.338482,/title/tt0816692/filminglocations/lc0755767
tt0816692,China,35.000074,104.999927,/title/tt0816692/filminglocations/lc0755766
tt0816692,"Helsetkopen, Møre og Romsdal, Norway",62.06,6.971944,/title/tt0816692/filminglocations/lc0761230
tt0816692,"Hellesylt, Norway",62.085337,6.8696967,/title/tt0816692/filminglocations/lc0763116
tt0816692,"Grand Central, Birmingham, West Midlands, England, UK",52.477831,-1.8980701012,/title/tt0816692/filminglocations/lc0787398
tt0816692,"Rome, Lazio, Italy",41.8933203,12.4829321,/title/tt0816692/filminglocations/lc1475486
tt0816692,"Stoney Middleton, Derbyshire, England, UK",53.2756112,-1.6595362,/title/tt0816692/filminglocations/lc0755765
tt0816692,"Åndalsnes, Rauma, Møre og Romsdal, Norway",62.5681692,7.6867621,/title/tt0816692/filminglocations/lc0787427
tt0816692,"Venice, Veneto, Italy",45.4371908,12.3345898,/title/tt0816692/filminglocations/lc0787428
tt0816692,"Ponte dei Conzafelzi, 30100 Venice, Veneto, Italy",45.4383358,12.3421131,/title/tt0816692/filminglocations/lc0763113
tt0816692,"Levisham, North Yorkshire, England, UK",54.3041093,-0.7210256,/title/tt0816692/filminglocations/lc0773405
tt0816692,"Trollveggen, Møre og Romsdal, Norway",62.4826699,7.7226498,/title/tt0816692/filminglocations/lc0787399
tt0816692,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,/title/tt0816692/filminglocations/lc0787400
tt0816692,"Birmingham, West Midlands, England, UK",52.4796992,-1.9026911,/title/tt0816692/filminglocations/lc1754835
tt0816692,"Via di S. Maria Maggiore, Rome, Lazio, Italy",41.8973255,12.4957563,/title/tt0816692/filminglocations/lc0878028
tt0816692,"Via dei Funari, Rome, Lazio, Italy",41.893496,12.479073,/title/tt0816692/filminglocations/lc0773404
tt0816692,"Via Nazionale, Rome, Lazio, Italy",41.900078,12.4922571,/title/tt0816692/filminglocations/lc1754837
tt0816692,"Via dei Serpenti, Rome, Lazio, Italy",41.8980366,12.4893047,/title/tt0816692/filminglocations/lc1754836
tt0816692,"Via del Traforo, Rome, Lazio, Italy",41.9020905,12.4865373,/title/tt0816692/filminglocations/lc2147666
tt0816692,"The Bullring, Birmingham, UK",52.4779765,-1.8936259,/title/tt0816692/filminglocations/lc1754838
tt0439572,"Leighton Buzzard, Bedfordshire, UK",51.9165794,-0.6620551,/title/tt0439572/filminglocations/lc2243834
tt0439572,"ExCel London, 1 Western Gateway, Royal Victoria Dock, London, Greater London, England, UK",51.5077231,0.0288119,/title/tt0439572/filminglocations/lc2226620
tt0439572,"Buttermere, Cockermouth CA, UK",54.6607181,-3.3452574,/title/tt0439572/filminglocations/lc2243835
tt0439572,"Dubai, United Arab Emirates",25.2653471,55.2924914,/title/tt0439572/filminglocations/lc2244318
tt0439572,"Budapest, Hungary",47.4978918,19.0401609,/title/tt0439572/filminglocations/lc2646574
tt0439572,"Nürburgring Nordschleife, Nürburg, Rhineland-Palatinate, Germany",50.33333,6.95,/title/tt0439572/filminglocations/lc3434640
tt0439572,United Arab Emirates,24.0002488,53.9994829,/title/tt0439572/filminglocations/lc3434635
tt0439572,Germany,51.1638175,10.4478313,/title/tt0439572/filminglocations/lc3434638
tt0439572,Hungary,47.1817585,19.5060937,/title/tt0439572/filminglocations/lc3434639
tt5433140,Greece,38.9953683,21.9877132,/title/tt5433140/filminglocations/lc2836918
tt5433140,"Thessaloniki, Greece",40.6403167,22.9352716,/title/tt5433140/filminglocations/lc2788285
tt5433140,"Sofia, Bulgaria",42.6977028,23.3217359,/title/tt5433140/filminglocations/lc2788286
tt5433140,"Toronto, Ontario, Canada",43.6534817,-79.3839347,/title/tt5433140/filminglocations/lc2788287
tt5433140,"Montreal, Quebec, Canada",45.5031824,-73.5698065,/title/tt5433140/filminglocations/lc2752143
tt5433140,"Paris, France",48.8534951,2.3483915,/title/tt5433140/filminglocations/lc2714144
tt5433140,"Rome, Italy",41.8933203,12.4829321,/title/tt5433140/filminglocations/lc3398061
tt5433140,"Sydney, Australia",-33.8698439,151.2082848,/title/tt5433140/filminglocations/lc2703975
tt5433140,"Atlanta, Georgia, USA",33.7489924,-84.3902644,/title/tt5433140/filminglocations/lc2703976
tt5433140,Puerto Rico,18.2247706,-66.4858295,/title/tt5433140/filminglocations/lc3404715
tt5433140,"Decatur, Georgia, USA",33.7737582,-84.296069,/title/tt5433140/filminglocations/lc3432025
tt5433140,"Dunwoody, Georgia, USA",33.9463786,-84.3342686,/title/tt5433140/filminglocations/lc3434654
tt12261776,"New York City, New York, USA",40.7830439,-73.9527658,/title/tt12261776/filminglocations/lc3106492
tt12261776,"Sardinia, Italy",40.06150285,9.0975893536,/title/tt12261776/filminglocations/lc3106493
tt12261776,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",51.5524651,-0.5321619025,/title/tt12261776/filminglocations/lc2149669
tt12261776,"Alnwick Castle, Alnwick, Northumberland, England, UK",55.415461,-1.7065170268,/title/tt12261776/filminglocations/lc2242315
tt12261776,"Gloucester Cathedral, 12 College Green, Gloucester, Gloucestershire, England, UK",51.86779615,-2.248465618,/title/tt12261776/filminglocations/lc3106494
tt12261776,"Australia House, Strand, Westminster, Greater London, England, UK",51.5128785,-0.1155906289,/title/tt12261776/filminglocations/lc2776029
tt12261776,"Handyside Bridge, King's Cross Railway Station, Euston Road, King's Cross, London, Greater London, England, UK",51.5323954,-0.1230224,/title/tt12261776/filminglocations/lc2776030
tt12261776,"12 Picket Post Close, Martin's Heron, Bracknell, Berkshire, England, UK",51.40862395,-0.721407625,/title/tt12261776/filminglocations/lc2776024
